"company","job","degree","SM100k"
google,sales executive,bachelors,"NO"
google,sales executive,masters,"NO"
google,business manager,bachelors,"YES"
google,business manager,masters,"YES"
google,computer programmer,bachelors,"NO"
google,computer programmer,masters,"YES"
abc pharma,sales executive,masters,"NO"
abc pharma,computer programmer,bachelors,"NO"
abc pharma,business manager,bachelors,"NO"
abc pharma,business manager,masters,"YES"
facebook,sales executive,bachelors,"YES"
facebook,sales executive,masters,"YES"
facebook,business manager,bachelors,"YES"
facebook,business manager,masters,"YES"
facebook,computer programmer,bachelors,"YES"
facebook,computer programmer,masters,"YES"
